k_u,k_v,cosine
8,30,0.038944462306585804
2,2,0.09612623572260594
10,29,0.0803894147187437
16,41,0.1631975595664374
6,421,0.2194621899970176
232,421,0.17050606292611076
11,421,0.024040199767782437
27,421,0.15705970350325918
2,22,0.03217242504964935
13,22,0.06958852692175779
8,22,0.1457997510960673
3,7,0.09772496047435074
3,46,0.055332813609728596
2,3,0.16197450822828388
8,28,0.03666873647640627
7,10,0.1530485147599179
2,10,0.11623996855650584
2,26,0.19775696741787696
2,7,0.09702196022814291
37,2241,0.176262355155159
11,37,0.01824210925534568
9,16,0.03334712651815853
5,280,0.1141667167285057
15,19,0.2133598568005604
3,5,0.14632441029691773
4,48,0.018835303559155657
4,4,0.07151739572786006
5,9,0.13646802736285438
